Nomination_Award_Name,Nomination_Iteration_Number,Film,Winner
"Adventures of Don Juan – Leah Rhodes, Travilla and Marjorie Best",22,Adventures of Don Juan,Adventures of Don Juan
"Adventures of Don Juan – Leah Rhodes, Travilla and Marjorie Best",22,Mother Is a Freshman,Mother Is a Freshman
Best Actor,1,The Circus,Charles Chaplin
Best Actor,1,The Last Command,Emil Jannings
Best Actor,1,The Noose,Richard Barthelmess
Best Actor,2,Alibi,Chester Morris
Best Actor,2,In Old Arizona,Warner Baxter
Best Actor,2,The Patriot,Lewis Stone
Best Actor,2,The Valiant,Paul Muni
Best Actor,2,Thunderbolt,George Bancroft
Best Actor,3,Bulldog Drummond,Ronald Colman
Best Actor,3,Disraeli,George Arliss
Best Actor,3,The Big House,Wallace Beery
Best Actor,3,The Big Pond,Maurice Chevalier
Best Actor,3,The Green Goddess,George Arliss
Best Actor,3,The Rogue Song,Lawrence Tibbett
Best Actor,4,A Free Soul,Lionel Barrymore
Best Actor,4,Cimarron,Richard Dix
Best Actor,4,Skippy,Jackie Cooper
Best Actor,4,The Front Page,Adolphe Menjou
Best Actor,4,The Royal Family of Broadway,Fredric March
Best Actor,5,Dr. Jekyll and Mr. Hyde,Fredric March
Best Actor,5,The Champ,Wallace Beery
Best Actor,5,The Guardsman,Alfred Lunt
Best Actor,6,Berkeley Square,Leslie Howard
Best Actor,6,I Am a Fugitive from a Chain Gang,Paul Muni
Best Actor,6,The Private Life of Henry VIII,Charles Laughton
Best Actor,7,It Happened One Night,Clark Gable
Best Actor,7,The Affairs of Cellini,Frank Morgan
Best Actor,7,The Thin Man,William Powell
Best Actor,8,Black Fury,Paul Muni
Best Actor,8,Mutiny on the Bounty,Franchot Tone
Best Actor,8,The Informer,Victor McLaglen
Best Actor,9,Dodsworth,Walter Huston
Best Actor,9,Mr. Deeds Goes to Town,Gary Cooper
Best Actor,9,My Man Godfrey,William Powell
Best Actor,9,San Francisco,Spencer Tracy
Best Actor,9,The Story of Louis Pasteur,Paul Muni
Best Actor,10,A Star Is Born,Fredric March
Best Actor,10,Captains Courageous,Spencer Tracy
Best Actor,10,Conquest,Charles Boyer
Best Actor,10,Night Must Fall,Robert Montgomery
Best Actor,10,The Life of Emile Zola,Paul Muni
Best Actor,11,Algiers,Charles Boyer
Best Actor,11,Angels with Dirty Faces,James Cagney
Best Actor,11,Boys Town,Spencer Tracy
Best Actor,11,Pygmalion,Leslie Howard
Best Actor,11,The Citadel,Robert Donat
Best Actor,12,Babes in Arms,Mickey Rooney
Best Actor,12,Gone With the Wind,Clark Gable
Best Actor,12,"Goodbye, Mr. Chips",Robert Donat
Best Actor,12,Mr. Smith Goes to Washington,James Stewart
Best Actor,12,Wuthering Heights,Laurence Olivier
Best Actor,13,Abe Lincoln in Illinois,Raymond Massey
Best Actor,13,Rebecca,Laurence Olivier
Best Actor,13,The Grapes of Wrath,Henry Fonda
Best Actor,13,The Great Dictator,Charles Chaplin
Best Actor,13,The Philadelphia Story,James Stewart
Best Actor,14,All That Money Can Buy,Walter Huston
Best Actor,14,Citizen Kane,Orson Welles
Best Actor,14,Here Comes Mr. Jordan,Robert Montgomery
Best Actor,14,Penny Serenade,Cary Grant
Best Actor,14,Sergeant York,Gary Cooper
Best Actor,15,Mrs. Miniver,Walter Pidgeon
Best Actor,15,Random Harvest,Ronald Colman
Best Actor,15,The Pied Piper,Monty Woolley
Best Actor,15,The Pride of the Yankees,Gary Cooper
Best Actor,15,Yankee Doodle Dandy,James Cagney
Best Actor,16,Casablanca,Humphrey Bogart
Best Actor,16,For Whom the Bell Tolls,Gary Cooper
Best Actor,16,Madame Curie,Walter Pidgeon
Best Actor,16,The Human Comedy,Mickey Rooney
Best Actor,16,Watch on the Rhine,Paul Lukas
Best Actor,17,Gaslight,Charles Boyer
Best Actor,17,Going My Way,Barry Fitzgerald
Best Actor,17,None but the Lonely Heart,Cary Grant
Best Actor,17,Wilson,Alexander Knox
Best Actor in a Leading Role,50,A Special Day,Marcello Mastroianni
Best Actor in a Leading Role,50,Annie Hall,Woody Allen
Best Actor in a Leading Role,50,Equus,Richard Burton
Best Actor in a Leading Role,50,Saturday Night Fever,John Travolta
Best Actor in a Leading Role,50,The Goodbye Girl,Richard Dreyfuss
Best Actor in a Leading Role,51,Coming Home,Jon Voight
Best Actor in a Leading Role,51,Heaven Can Wait,Warren Beatty
Best Actor in a Leading Role,51,The Boys from Brazil,Laurence Olivier
Best Actor in a Leading Role,51,The Buddy Holly Story,Gary Busey
Best Actor in a Leading Role,51,The Deer Hunter,Robert De Niro
Best Actor in a Leading Role,52,...And Justice for All.,Al Pacino
Best Actor in a Leading Role,52,All That Jazz,Roy Scheider
Best Actor in a Leading Role,52,Being There,Peter Sellers
Best Actor in a Leading Role,52,Kramer vs. Kramer,Dustin Hoffman
Best Actor in a Leading Role,52,The China Syndrome,Jack Lemmon
Best Actor in a Leading Role,53,Raging Bull,Robert De Niro
Best Actor in a Leading Role,53,The Elephant Man,John Hurt
Best Actor in a Leading Role,53,The Great Santini,Robert Duvall
Best Actor in a Leading Role,53,The Stunt Man,Peter O'Toole
Best Actor in a Leading Role,53,Tribute,Jack Lemmon
Best Actor in a Leading Role,54,Absence of Malice,Paul Newman
Best Actor in a Leading Role,54,Arthur,Dudley Moore
Best Actor in a Leading Role,54,Atlantic City,Burt Lancaster
Best Actor in a Leading Role,54,On Golden Pond,Henry Fonda
Best Actor in a Leading Role,54,Reds,Warren Beatty
Best Actor in a Leading Role,56,Educating Rita,Michael Caine
Best Actor in a Leading Role,56,"Reuben, Reuben",Tom Conti
Best Actor in a Leading Role,56,Tender Mercies,Robert Duvall
Best Actor in a Leading Role,56,The Dresser,Albert Finney
Best Actor in a Leading Role,57,Amadeus,Tom Hulce
Best Actor in a Leading Role,57,Starman,Jeff Bridges
Best Actor in a Leading Role,57,The Killing Fields,Sam Waterston
Best Actor in a Leading Role,57,Under the Volcano,Albert Finney
Best Actor in a Leading Role,58,Kiss of the Spider Woman,William Hurt
Best Actor in a Leading Role,58,Murphy's Romance,James Garner
Best Actor in a Leading Role,58,Prizzi's Honor,Jack Nicholson
Best Actor in a Leading Role,58,Runaway Train,Jon Voight
Best Actor in a Leading Role,58,Witness,Harrison Ford
Best Actor in a Leading Role,59,Children of a Lesser God,William Hurt
Best Actor in a Leading Role,59,Mona Lisa,Bob Hoskins
Best Actor in a Leading Role,59,Round Midnight,Dexter Gordon
Best Actor in a Leading Role,59,Salvador,James Woods
Best Actor in a Leading Role,59,The Color of Money,Paul Newman
Best Actor in a Leading Role,60,Broadcast News,William Hurt
Best Actor in a Leading Role,60,Dark Eyes,Marcello Mastroianni
Best Actor in a Leading Role,60,"Good Morning, Vietnam",Robin Williams
Best Actor in a Leading Role,60,Ironweed,Jack Nicholson
Best Actor in a Leading Role,60,Wall Street,Michael Douglas
Best Actor in a Leading Role,61,Big,Tom Hanks
Best Actor in a Leading Role,61,Mississippi Burning,Gene Hackman
Best Actor in a Leading Role,61,Pelle the Conqueror,Max von Sydow
Best Actor in a Leading Role,61,Rain Man,Dustin Hoffman
Best Actor in a Leading Role,61,Stand and Deliver,Edward James Olmos
Best Actor in a Leading Role,62,Born on the Fourth of July,Tom Cruise
Best Actor in a Leading Role,62,Dead Poets Society,Robin Williams
Best Actor in a Leading Role,62,Driving Miss Daisy,Morgan Freeman
Best Actor in a Leading Role,62,Henry V,Kenneth Branagh
Best Actor in a Leading Role,62,My Left Foot,Daniel Day-Lewis
Best Actor in a Leading Role,63,Awakenings,Robert De Niro
Best Actor in a Leading Role,63,Cyrano de Bergerac,Gérard Depardieu
Best Actor in a Leading Role,63,Dances With Wolves,Kevin Costner
Best Actor in a Leading Role,63,Reversal of Fortune,Jeremy Irons
Best Actor in a Leading Role,63,The Field,Richard Harris
Best Actor in a Leading Role,64,Bugsy,Warren Beatty
Best Actor in a Leading Role,64,Cape Fear,Robert De Niro
Best Actor in a Leading Role,64,The Fisher King,Robin Williams
Best Actor in a Leading Role,64,The Prince of Tides,Nick Nolte
Best Actor in a Leading Role,64,The Silence of the Lambs,Anthony Hopkins
Best Actor in a Leading Role,65,Chaplin,Robert Downey Jr.
Best Actor in a Leading Role,65,Malcolm X,Denzel Washington
Best Actor in a Leading Role,65,Scent of a Woman,Al Pacino
Best Actor in a Leading Role,65,The Crying Game,Stephen Rea
Best Actor in a Leading Role,65,Unforgiven,Clint Eastwood
Best Actor in a Leading Role,66,In the Name of the Father,Daniel Day-Lewis
Best Actor in a Leading Role,66,Philadelphia,Tom Hanks
Best Actor in a Leading Role,66,Schindler's List,Liam Neeson
Best Actor in a Leading Role,66,The Remains of the Day,Anthony Hopkins
Best Actor in a Leading Role,66,What's Love Got to Do with It,Laurence Fishburne
Best Actor in a Leading Role,67,– Nobody's Fool,Paul Newman
Best Actor in a Leading Role,67,– Pulp Fiction,John Travolta
Best Actor in a Leading Role,67,– The Madness of King George,Nigel Hawthorne
Best Actor in a Leading Role,67,– The Shawshank Redemption,Morgan Freeman
Best Actor in a Leading Role,67,Forrest Gump,Tom Hanks
Best Actor in a Leading Role,68,– Dead Man Walking,Sean Penn
Best Actor in a Leading Role,68,– Mr. Holland's Opus,Richard Dreyfuss
Best Actor in a Leading Role,68,– Nixon,Anthony Hopkins
Best Actor in a Leading Role,68,Il Postino: The Postman,Massimo Troisi (posthumous nomination)
Best Actor in a Leading Role,68,Leaving Las Vegas,Nicolas Cage
Best Actor in a Leading Role,69,Jerry Maguire,Tom Cruise
Best Actor in a Leading Role,69,Shine,Geoffrey Rush
Best Actor in a Leading Role,69,Sling Blade,Billy Bob Thornton
Best Actor in a Leading Role,69,The English Patient,Ralph Fiennes
Best Actor in a Leading Role,69,The People vs. Larry Flynt,Woody Harrelson
Best Actor in a Leading Role,70,As Good as It Gets,Jack Nicholson
Best Actor in a Leading Role,70,Good Will Hunting,Matt Damon
Best Actor in a Leading Role,70,The Apostle,Robert Duvall
Best Actor in a Leading Role,70,Ulee's Gold,Peter Fonda
Best Actor in a Leading Role,70,Wag the Dog,Dustin Hoffman
Best Actor in a Leading Role,71,Affliction,Nick Nolte
Best Actor in a Leading Role,71,American History X,Edward Norton
Best Actor in a Leading Role,71,Gods and Monsters,Ian McKellen
Best Actor in a Leading Role,71,Life Is Beautiful,Roberto Benigni
Best Actor in a Leading Role,71,Saving Private Ryan,Tom Hanks
Best Actor in a Leading Role,72,American Beauty,Kevin Spacey
Best Actor in a Leading Role,72,Sweet and Lowdown,Sean Penn
Best Actor in a Leading Role,72,The Hurricane,Denzel Washington
Best Actor in a Leading Role,72,The Insider,Russell Crowe
Best Actor in a Leading Role,72,The Straight Story,Richard Farnsworth
Best Actor in a Leading Role,73,Before Night Falls,Javier Bardem
Best Actor in a Leading Role,73,Cast Away,Tom Hanks
Best Actor in a Leading Role,73,Gladiator,Russell Crowe
Best Actor in a Leading Role,73,Pollock,Ed Harris
Best Actor in a Leading Role,73,Quills,Geoffrey Rush
Best Actor in a Leading Role,74,A Beautiful Mind,Russell Crowe
Best Actor in a Leading Role,74,Ali,Will Smith
Best Actor in a Leading Role,74,I Am Sam,Sean Penn
Best Actor in a Leading Role,74,In the Bedroom,Tom Wilkinson
Best Actor in a Leading Role,74,Training Day,Denzel Washington
Best Actor in a Leading Role,75,About Schmidt,Jack Nicholson
Best Actor in a Leading Role,75,Adaptation,Nicolas Cage
Best Actor in a Leading Role,75,Gangs of New York,Daniel Day-Lewis
Best Actor in a Leading Role,75,The Pianist,Adrien Brody
Best Actor in a Leading Role,75,The Quiet American,Michael Caine
Best Actor in a Leading Role,76,Cold Mountain,Jude Law
Best Actor in a Leading Role,76,House of Sand and Fog,Ben Kingsley
Best Actor in a Leading Role,76,Lost in Translation,Bill Murray
Best Actor in a Leading Role,76,Mystic River,Sean Penn
Best Actor in a Leading Role,76,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
Best Actor in a Leading Role,77,Finding Neverland,Johnny Depp
Best Actor in a Leading Role,77,Hotel Rwanda,Don Cheadle
Best Actor in a Leading Role,77,Million Dollar Baby,Clint Eastwood
Best Actor in a Leading Role,77,Ray,Jamie Foxx
Best Actor in a Leading Role,77,The Aviator,Leonardo DiCaprio
Best Actor in a Leading Role,78,Brokeback Mountain,Heath Ledger
Best Actor in a Leading Role,78,Capote,Philip Seymour Hoffman
Best Actor in a Leading Role,78,"Good Night, and Good Luck",David Strathairn
Best Actor in a Leading Role,78,Hustle & Flow,Terrence Howard
Best Actor in a Leading Role,78,Walk the Line,Joaquin Phoenix
Best Actor in a Leading Role,79,Blood Diamond,Leonardo DiCaprio
Best Actor in a Leading Role,79,Half Nelson,Ryan Gosling
Best Actor in a Leading Role,79,The Last King of Scotland,Forest Whitaker
Best Actor in a Leading Role,79,The Pursuit of Happyness,Will Smith
Best Actor in a Leading Role,79,Venus,Peter O'Toole
Best Actor in a Leading Role,80,Eastern Promises,Viggo Mortensen
Best Actor in a Leading Role,80,In the Valley of Elah,Tommy Lee Jones
Best Actor in a Leading Role,80,Michael Clayton,George Clooney
Best Actor in a Leading Role,80,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp
Best Actor in a Leading Role,80,There Will Be Blood,Daniel Day-Lewis
Best Actor in a Leading Role,81,Frost/Nixon,Frank Langella
Best Actor in a Leading Role,81,Milk,Sean Penn
Best Actor in a Leading Role,81,The Curious Case of Benjamin Button,Brad Pitt
Best Actor in a Leading Role,81,The Visitor,Richard Jenkins
Best Actor in a Leading Role,81,The Wrestler,Mickey Rourke
Best Actor in a Leading Role,82,A Single Man,Colin Firth
Best Actor in a Leading Role,82,Crazy Heart,Jeff Bridges
Best Actor in a Leading Role,82,Invictus,Morgan Freeman
Best Actor in a Leading Role,82,The Hurt Locker,Jeremy Renner
Best Actor in a Leading Role,82,Up in the Air,George Clooney
Best Actor in a Leading Role,83,127 Hours,James Franco
Best Actor in a Leading Role,83,Biutiful,Javier Bardem
Best Actor in a Leading Role,83,The King's Speech,Colin Firth
Best Actor in a Leading Role,83,The Social Network,Jesse Eisenberg
Best Actor in a Leading Role,83,True Grit,Jeff Bridges
Best Actor in a Leading Role,84,A Better Life,Demián Bichir
Best Actor in a Leading Role,84,Moneyball,Brad Pitt
Best Actor in a Leading Role,84,The Artist,Jean Dujardin
Best Actor in a Leading Role,84,The Descendants,George Clooney
Best Actor in a Leading Role,84,Tinker Tailor Soldier Spy,Gary Oldman
Best Actor in a Leading Role,85,Flight,Denzel Washington
Best Actor in a Leading Role,85,Les Misérables,Hugh Jackman
Best Actor in a Leading Role,85,Lincoln,Daniel Day-Lewis
Best Actor in a Leading Role,85,Silver Linings Playbook,Bradley Cooper
Best Actor in a Leading Role,85,The Master,Joaquin Phoenix
Best Actor in a Leading Role,86,12 Years a Slave,Chiwetel Ejiofor
Best Actor in a Leading Role,86,American Hustle,Christian Bale
Best Actor in a Leading Role,86,Dallas Buyers Club,Matthew McConaughey
Best Actor in a Leading Role,86,Nebraska,Bruce Dern
Best Actor in a Leading Role,86,The Wolf of Wall Street,Leonardo DiCaprio
Best Actor in a Leading Role,87,American Sniper,Bradley Cooper
Best Actor in a Leading Role,87,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton
Best Actor in a Leading Role,87,Foxcatcher,Steve Carell
Best Actor in a Leading Role,87,The Imitation Game,Benedict Cumberbatch
Best Actor in a Leading Role,87,The Theory of Everything,Eddie Redmayne
Best Actor in a Leading Role,88,Steve Jobs,Michael Fassbender
Best Actor in a Leading Role,88,The Danish Girl,Eddie Redmayne
Best Actor in a Leading Role,88,The Martian,Matt Damon
Best Actor in a Leading Role,88,The Revenant,Leonardo DiCaprio
Best Actor in a Leading Role,88,Trumbo,Bryan Cranston
Best Actor in a Leading Role,89,Captain Fantastic,Viggo Mortensen
Best Actor in a Leading Role,89,Fences,Denzel Washington
Best Actor in a Leading Role,89,Hacksaw Ridge,Andrew Garfield
Best Actor in a Leading Role,89,La La Land,Ryan Gosling
Best Actor in a Leading Role,89,Manchester by the Sea,Casey Affleck
Best Actor in a Leading Role,90,Call Me by Your Name,Timothée Chalamet
Best Actor in a Leading Role,90,Darkest Hour,Gary Oldman
Best Actor in a Leading Role,90,Get Out,Daniel Kaluuya
Best Actor in a Leading Role,90,Phantom Thread,Daniel Day-Lewis
Best Actor in a Leading Role,90,"Roman J. Israel, Esq.",Denzel Washington
Best Actor in a Leading Role,91,A Star Is Born,Bradley Cooper
Best Actor in a Leading Role,91,At Eternity's Gate,Willem Dafoe
Best Actor in a Leading Role,91,Bohemian Rhapsody,Rami Malek
Best Actor in a Leading Role,91,Green Book,Viggo Mortensen
Best Actor in a Leading Role,91,Vice,Christian Bale
Best Actor in a Leading Role,92,Joker,Joaquin Phoenix
Best Actor in a Leading Role,92,Marriage Story,Adam Driver
Best Actor in a Leading Role,92,Once Upon a Time in Hollywood,Leonardo DiCaprio
Best Actor in a Leading Role,92,Pain and Glory,Antonio Banderas
Best Actor in a Leading Role,92,The Two Popes,Jonathan Pryce
Best Actor in a Leading Role,93,Ma Rainey's Black Bottom,Chadwick Boseman
Best Actor in a Leading Role,93,Mank,Gary Oldman
Best Actor in a Leading Role,93,Minari,Steven Yeun
Best Actor in a Leading Role,93,Sound of Metal,Riz Ahmed
Best Actor in a Leading Role,93,The Father,Anthony Hopkins
Best Actor in a Leading Role,94,Being the Ricardos,Javier Bardem
Best Actor in a Leading Role,94,King Richard,Will Smith
Best Actor in a Leading Role,94,The Power of the Dog,Benedict Cumberbatch
Best Actor in a Leading Role,94,The Tragedy of Macbeth,Denzel Washington
Best Actor in a Leading Role,94,"Tick, Tick... Boom!",Andrew Garfield
Best Actor in a Leading Role,95,Aftersun,Paul Mescal
Best Actor in a Leading Role,95,Elvis,Austin Butler
Best Actor in a Leading Role,95,Living,Bill Nighy
Best Actor in a Leading Role,95,The Banshees of Inisherin,Colin Farrell
Best Actor in a Leading Role,95,The Whale,Brendan Fraser
Best Actor in a Leading Role,96,American Fiction,Jeffrey Wright
Best Actor in a Leading Role,96,Maestro,Bradley Cooper
Best Actor in a Leading Role,96,Oppenheimer,Cillian Murphy
Best Actor in a Leading Role,96,Rustin,Colman Domingo
Best Actor in a Leading Role,96,The Holdovers,Paul Giamatti
Best Actor in a Leading Role,97,A Complete Unknown,Timothée Chalamet
Best Actor in a Leading Role,97,Conclave,Ralph Fiennes
Best Actor in a Leading Role,97,Sing Sing,Colman Domingo
Best Actor in a Leading Role,97,The Apprentice,Sebastian Stan
Best Actor in a Leading Role,97,The Brutalist,Adrien Brody
Best Actor in a Supporting Role,9,Come and Get It,Walter Brennan
Best Actor in a Supporting Role,9,My Man Godfrey,Mischa Auer
Best Actor in a Supporting Role,9,Pigskin Parade,Stuart Erwin
Best Actor in a Supporting Role,9,Romeo and Juliet,Basil Rathbone
Best Actor in a Supporting Role,9,The General Died at Dawn,Akim Tamiroff
Best Actor in a Supporting Role,10,Lost Horizon,H. B. Warner
Best Actor in a Supporting Role,10,The Awful Truth,Ralph Bellamy
Best Actor in a Supporting Role,10,The Hurricane,Thomas Mitchell
Best Actor in a Supporting Role,10,The Life of Emile Zola,Joseph Schildkraut
Best Actor in a Supporting Role,10,Topper,Roland Young
Best Actor in a Supporting Role,11,Algiers,Gene Lockhart
Best Actor in a Supporting Role,11,Four Daughters,John Garfield
Best Actor in a Supporting Role,11,If I Were King,Basil Rathbone
Best Actor in a Supporting Role,11,Kentucky,Walter Brennan
Best Actor in a Supporting Role,11,Marie Antoinette,Robert Morley
Best Actor in a Supporting Role,12,Beau Geste,Brian Donlevy
Best Actor in a Supporting Role,12,Juarez,Brian Aherne
Best Actor in a Supporting Role,12,Mr. Smith Goes to Washington,Claude Rains
Best Actor in a Supporting Role,12,Stagecoach,Thomas Mitchell
Best Actor in a Supporting Role,13,Foreign Correspondent,Albert Bassermann
Best Actor in a Supporting Role,13,The Great Dictator,Jack Oakie
Best Actor in a Supporting Role,13,The Letter,James Stephenson
Best Actor in a Supporting Role,13,The Westerner,Walter Brennan
Best Actor in a Supporting Role,13,They Knew What They Wanted,William Gargan
Best Actor in a Supporting Role,14,Here Comes Mr. Jordan,James Gleason
Best Actor in a Supporting Role,14,How Green Was My Valley,Donald Crisp
Best Actor in a Supporting Role,14,Sergeant York,Walter Brennan
Best Actor in a Supporting Role,14,The Devil and Miss Jones,Charles Coburn
Best Actor in a Supporting Role,14,The Maltese Falcon,Sydney Greenstreet
Best Actor in a Supporting Role,15,Johnny Eager,Van Heflin
Best Actor in a Supporting Role,15,Mrs. Miniver,Henry Travers
Best Actor in a Supporting Role,15,Tortilla Flat,Frank Morgan
Best Actor in a Supporting Role,15,Wake Island,William Bendix
Best Actor in a Supporting Role,15,Yankee Doodle Dandy,Walter Huston
Best Actor in a Supporting Role,16,Casablanca,Claude Rains
Best Actor in a Supporting Role,16,For Whom the Bell Tolls,Akim Tamiroff
Best Actor in a Supporting Role,16,Sahara,J. Carrol Naish
Best Actor in a Supporting Role,16,The More the Merrier,Charles Coburn
Best Actor in a Supporting Role,16,The Song of Bernadette,Charles Bickford
Best Actor in a Supporting Role,17,Going My Way,Barry Fitzgerald
Best Actor in a Supporting Role,17,Laura,Clifton Webb
Best Actor in a Supporting Role,17,Mr. Skeffington,Claude Rains
Best Actor in a Supporting Role,17,Since You Went Away,Monty Woolley
Best Actor in a Supporting Role,17,The Seventh Cross,Hume Cronyn
Best Actor in a Supporting Role,50,Equus,Peter Firth
Best Actor in a Supporting Role,50,Julia,Maximilian Schell
Best Actor in a Supporting Role,50,Star Wars,Alec Guinness
Best Actor in a Supporting Role,50,The Turning Point,Mikhail Baryshnikov
Best Actor in a Supporting Role,51,Comes a Horseman,Richard Farnsworth
Best Actor in a Supporting Role,51,Coming Home,Bruce Dern
Best Actor in a Supporting Role,51,Heaven Can Wait,Jack Warden
Best Actor in a Supporting Role,51,Midnight Express,John Hurt
Best Actor in a Supporting Role,51,The Deer Hunter,Christopher Walken
Best Actor in a Supporting Role,52,Apocalypse Now,Robert Duvall
Best Actor in a Supporting Role,52,Being There,Melvyn Douglas
Best Actor in a Supporting Role,52,Kramer vs. Kramer,Justin Henry
Best Actor in a Supporting Role,52,The Black Stallion,Mickey Rooney
Best Actor in a Supporting Role,52,The Rose,Frederic Forrest
Best Actor in a Supporting Role,53,Melvin and Howard,Jason Robards
Best Actor in a Supporting Role,53,Ordinary People,Judd Hirsch
Best Actor in a Supporting Role,53,Raging Bull,Joe Pesci
Best Actor in a Supporting Role,53,The Great Santini,Michael O'Keefe
Best Actor in a Supporting Role,54,Arthur,John Gielgud
Best Actor in a Supporting Role,54,Chariots of Fire,Ian Holm
Best Actor in a Supporting Role,54,Only When I Laugh,James Coco
Best Actor in a Supporting Role,54,Ragtime,Howard E. Rollins Jr.
Best Actor in a Supporting Role,54,Reds,Jack Nicholson
Best Actor in a Supporting Role,56,Cross Creek,Rip Torn
Best Actor in a Supporting Role,56,Terms of Endearment,John Lithgow
Best Actor in a Supporting Role,56,The Right Stuff,Sam Shepard
Best Actor in a Supporting Role,56,To Be or Not to Be,Charles Durning
Best Actor in a Supporting Role,57,A Soldier's Story as,Adolph Caesar
Best Actor in a Supporting Role,57,"Greystoke: The Legend of Tarzan, Lord of the Apes as",Ralph Richardson (posthumous nomination)
Best Actor in a Supporting Role,57,Places in the Heart,John Malkovich
Best Actor in a Supporting Role,57,The Karate Kid as,Pat Morita
Best Actor in a Supporting Role,57,The Killing Fields,Haing S. Ngor
Best Actor in a Supporting Role,58,Cocoon,Don Ameche
Best Actor in a Supporting Role,58,Jagged Edge,Robert Loggia
Best Actor in a Supporting Role,58,Out of Africa,Klaus Maria Brandauer
Best Actor in a Supporting Role,58,Prizzi's Honor,William Hickey
Best Actor in a Supporting Role,58,Runaway Train,Eric Roberts
Best Actor in a Supporting Role,59,A Room with a View,Denholm Elliott
Best Actor in a Supporting Role,59,Hannah and Her Sisters,Michael Caine
Best Actor in a Supporting Role,59,Hoosiers,Dennis Hopper
Best Actor in a Supporting Role,59,Platoon,Willem Dafoe
Best Actor in a Supporting Role,60,Broadcast News,Albert Brooks
Best Actor in a Supporting Role,60,Cry Freedom,Denzel Washington
Best Actor in a Supporting Role,60,Moonstruck,Vincent Gardenia
Best Actor in a Supporting Role,60,Street Smart,Morgan Freeman
Best Actor in a Supporting Role,60,The Untouchables,Sean Connery
Best Actor in a Supporting Role,61,A Fish Called Wanda,Kevin Kline
Best Actor in a Supporting Role,61,Little Dorrit,Alec Guinness
Best Actor in a Supporting Role,61,Married to the Mob,Dean Stockwell
Best Actor in a Supporting Role,61,Running on Empty,River Phoenix
Best Actor in a Supporting Role,61,Tucker: The Man and His Dream,Martin Landau
Best Actor in a Supporting Role,62,A Dry White Season,Marlon Brando
Best Actor in a Supporting Role,62,Crimes and Misdemeanors,Martin Landau
Best Actor in a Supporting Role,62,Do the Right Thing,Danny Aiello
Best Actor in a Supporting Role,62,Driving Miss Daisy,Dan Aykroyd
Best Actor in a Supporting Role,62,Glory,Denzel Washington
Best Actor in a Supporting Role,63,Dances With Wolves,Graham Greene
Best Actor in a Supporting Role,63,Dick Tracy,Al Pacino
Best Actor in a Supporting Role,63,Goodfellas,Joe Pesci
Best Actor in a Supporting Role,63,Longtime Companion,Bruce Davison
Best Actor in a Supporting Role,63,The Godfather Part III,Andy García
Best Actor in a Supporting Role,64,Barton Fink,Michael Lerner
Best Actor in a Supporting Role,64,Bugsy,Ben Kingsley
Best Actor in a Supporting Role,64,City Slickers,Jack Palance
Best Actor in a Supporting Role,64,JFK,Tommy Lee Jones
Best Actor in a Supporting Role,65,A Few Good Men,Jack Nicholson
Best Actor in a Supporting Role,65,Glengarry Glen Ross,Al Pacino
Best Actor in a Supporting Role,65,Mr. Saturday Night,David Paymer
Best Actor in a Supporting Role,65,The Crying Game,Jaye Davidson
Best Actor in a Supporting Role,65,Unforgiven,Gene Hackman
Best Actor in a Supporting Role,66,In the Line of Fire,John Malkovich
Best Actor in a Supporting Role,66,In the Name of the Father,Pete Postlethwaite
Best Actor in a Supporting Role,66,Schindler's List,Ralph Fiennes
Best Actor in a Supporting Role,66,The Fugitive,Tommy Lee Jones
Best Actor in a Supporting Role,66,What's Eating Gilbert Grape,Leonardo DiCaprio
Best Actor in a Supporting Role,67,– Bullets Over Broadway,Chazz Palminteri
Best Actor in a Supporting Role,67,– Forrest Gump,Gary Sinise
Best Actor in a Supporting Role,67,– Pulp Fiction,Samuel L. Jackson
Best Actor in a Supporting Role,67,– Quiz Show,Paul Scofield
Best Actor in a Supporting Role,67,Ed Wood,Martin Landau
Best Actor in a Supporting Role,68,– 12 Monkeys,Brad Pitt
Best Actor in a Supporting Role,68,– Apollo 13,Ed Harris
Best Actor in a Supporting Role,68,– Babe,James Cromwell
Best Actor in a Supporting Role,68,– Rob Roy,Tim Roth
Best Actor in a Supporting Role,68,The Usual Suspects,Kevin Spacey
Best Actor in a Supporting Role,69,Fargo,William H. Macy
Best Actor in a Supporting Role,69,Ghosts of Mississippi,James Woods
Best Actor in a Supporting Role,69,Jerry Maguire,Cuba Gooding Jr.
Best Actor in a Supporting Role,69,Primal Fear,Edward Norton
Best Actor in a Supporting Role,69,Shine,Armin Mueller-Stahl
Best Actor in a Supporting Role,70,Amistad,Anthony Hopkins
Best Actor in a Supporting Role,70,As Good as It Gets,Greg Kinnear
Best Actor in a Supporting Role,70,Boogie Nights,Burt Reynolds
Best Actor in a Supporting Role,70,Good Will Hunting,Robin Williams
Best Actor in a Supporting Role,70,Jackie Brown,Robert Forster
Best Actor in a Supporting Role,71,A Civil Action,Robert Duvall
Best Actor in a Supporting Role,71,A Simple Plan,Billy Bob Thornton
Best Actor in a Supporting Role,71,Affliction,James Coburn
