Movie_Title,Release_Year,Production_Company_Name,Company_Name_(Wikipedia),Company_HQ,Company_Founded_Year
Arrowsmith,1931,Samuel Goldwyn Productions,Samuel Goldwyn Productions,United States,1923
Five Star Final,1931,First National Pictures,First National Pictures,United States,1917
It's Got Me Again!,1932,Harman-Ising Productions,Harman and Ising,"Los Angeles, California, United States",1929
Mickey's Orphans,1931,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
One Hour with You,1932,Paramount Pictures,Paramount Pictures,,
What Price Hollywood?,1932,RKO Pathé,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
Stout Hearts and Willing Hands,1931,Masquers Club,,,
A Farewell to Arms,1932,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Little Women,1933,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
The Private Life of Henry VIII,1933,London Film Productions,London Films,Buckinghamshire,1932
Krakatoa,1933,Educational Pictures,,,
Morning Glory,1933,RKO Radio Pictures,RKO Pictures,"1270 Avenue of the Americas, New York City, New York",1929
One Way Passage,1932,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
Three Little Pigs,1933,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Lady for a Day,1933,Columbia Pictures,Columbia Pictures,,
I Am a Fugitive from a Chain Gang,1932,The Vitaphone Corporation,Vitaphone,"Los Angeles, California, United States",1925
42nd Street,1933,Warner Bros.,Warner Bros. Pictures,"4000 Warner Boulevard, Burbank, California, U.S.",1910
Building a Building,1933,Walt Disney Productions,Walt Disney Animation Studios,"2100 West Riverside Drive, Burbank, California, U.S.",1923
Gold Diggers of 1933,1933,Warner Bros.,Warner Bros.,"4000 Warner Blvd., Burbank, California, US",1923
Rasputin and the Empress,1932,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"Beverly Hills, California, United States",1924
She Done Him Wrong,1933,Paramount Pictures,Paramount Pictures,"5555 Melrose Avenue, Hollywood, Los Angeles, California, U.S.",1912
Sign of the Cross,1932,Paramount Pictures,Paramount Pictures,,
The Merry Old Soul,1933,Walter Lantz Productions,Walter Lantz Productions,"100 Universal City Plaza, Universal City, California, U.S. (1928–1947, 1950–1972)861 Seward Street, Hollywood, California, U.S. (1947–1949)",1928
